,cosmodc2_hp,cosmodc2_id,dec,flux_g,flux_g_noMW,flux_i,flux_i_noMW,flux_r,flux_r_noMW,flux_u,flux_u_noMW,flux_y,flux_y_noMW,flux_z,flux_z_noMW,host_galaxy,id,id_truth_type,is_pointsource,is_variable,mag_r,ra_x,redshift,truth_type,HPX_2_17,ra_y,decl,diaObjectid,rPSFluxMax
495,-1,-1,-36.4397869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875192114,MS_9813_352,MS_9813_352_3,1,1,,59.1234106,0.378782,3,144768143876,59.1234103,-36.4397917,1650525282966176442,3714.0446586
496,-1,-1,-36.3725618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875243942,MS_9813_409,MS_9813_409_3,1,1,,59.3191047,0.415865,3,144768100176,59.3192891,-36.3722658,1650516486873155438,-936.4655727
497,-1,-1,-36.3725618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875243942,MS_9813_409,MS_9813_409_3,1,1,,59.3191047,0.415865,3,144768100176,59.3191167,-36.372559,1650516486873156196,2429.0156326
498,-1,-1,-36.3519717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876329647,MS_9813_2761,MS_9813_2761_3,1,1,,59.1818391,0.82318,3,144768207650,59.1818328,-36.351975,1650516486873157696,660.3063101
499,-1,-1,-36.479688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876309143,MS_9813_2797,MS_9813_2797_3,1,1,,59.2705429,0.821035,3,144768029707,59.2706491,-36.4795952,1650516486873154754,658.3753892
500,-1,-1,-36.506803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876523871,MS_9813_2798,MS_9813_2798_3,1,1,,59.1919483,0.832828,3,144768021057,59.1919229,-36.506804,1650516486873157315,683.8239456
501,-1,-1,-36.4458672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7877164568,MS_9813_4026,MS_9813_4026_3,1,1,,59.284046,0.961764,3,144768075437,59.2837765,-36.4460196,1650516486873154735,581.3663817
502,-1,-1,-36.2037448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876701767,MS_9813_3520,MS_9813_3520_3,1,1,,59.267261,0.911343,3,144769814886,59.2672474,-36.2037496,1650578059524310554,
503,-1,-1,-36.3068555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876941635,MS_9813_3563,MS_9813_3563_3,1,1,,59.3028321,0.916809,3,144768202079,59.3028741,-36.3068417,1650578059524310558,
504,-1,-1,-36.503908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7877165130,MS_9813_3981,MS_9813_3981_3,1,1,,59.2497572,0.966075,3,144768025601,59.2498127,-36.5038837,1650516486873157464,
505,-1,-1,-36.4915971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7877161076,MS_9813_4209,MS_9813_4209_3,1,1,,59.0909889,0.972668,3,144767417029,59.0911435,-36.4915358,1650525282966176350,
