,cosmodc2_hp,cosmodc2_id,dec,flux_g,flux_g_noMW,flux_i,flux_i_noMW,flux_r,flux_r_noMW,flux_u,flux_u_noMW,flux_y,flux_y_noMW,flux_z,flux_z_noMW,host_galaxy,id,id_truth_type,is_pointsource,is_variable,mag_r,ra_x,redshift,truth_type,HPX_2_17,ra_y,decl,diaObjectid,rPSFluxMax,diff_ra,diff_dec
174,-1,-1,-36.7761527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875011258,MS_9813_31,MS_9813_31_3,1,1,,59.6292801,0.149789,3,144761796869,59.6292811,-36.7761548,1650929903245197685,25803.7568442,-0.0035999999909108737,0.007560000011608281
175,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3726134,-37.0649354,1650331768919689263,-764.8523171,0.13392000000465032,-0.2681999999879281
176,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3723451,-37.0651578,1650331768919689280,,1.0998000000114416,0.5324400000063179
177,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3727466,-37.065108,1650331768919688281,,-0.3455999999971482,0.35316000000875647
178,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3727466,-37.065108,1650815554035909867,,-0.3455999999971482,0.35316000000875647
179,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3723451,-37.0651578,1650815554035911127,,1.0998000000114416,0.5324400000063179
180,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3726134,-37.0649354,1650815554035911105,-764.8523171,0.13392000000465032,-0.2681999999879281
181,-1,-1,-37.1260662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49517,hl_ms_49517,hl_ms_49517_3,1,1,,59.3669169,1.09049,3,144760733627,59.3666323,-37.1261024,1650331768919691436,,1.024560000001884,0.13032000001373945
182,-1,-1,-37.1260662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49517,hl_ms_49517,hl_ms_49517_3,1,1,,59.3669169,1.09049,3,144760733627,59.3666323,-37.1261024,1650815554035913738,,1.024560000001884,0.13032000001373945
183,-1,-1,-37.1699774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876318968,MS_9813_2599,MS_9813_2599_3,1,1,,59.2504303,0.813214,3,144760744352,59.2503789,-37.1700078,1650331768919690070,,0.1850399999881347,0.10943999999994958
184,-1,-1,-37.1699774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876318968,MS_9813_2599,MS_9813_2599_3,1,1,,59.2504303,0.813214,3,144760744352,59.2503789,-37.1700078,1567560533580712327,,0.1850399999881347,0.10943999999994958
185,-1,-1,-37.1928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876006703,MS_9813_1865,MS_9813_1865_3,1,1,,59.3370253,0.715635,3,144760714495,59.3370245,-37.1928552,1650331768919689889,754.2567491,0.002880000008076422,0.013319999976602048
186,-1,-1,-37.1928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876006703,MS_9813_1865,MS_9813_1865_3,1,1,,59.3370253,0.715635,3,144760714495,59.3370245,-37.1928552,1650815554035911855,754.2567491,0.002880000008076422,0.013319999976602048
187,-1,-1,-37.1928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876006703,MS_9813_1865,MS_9813_1865_3,1,1,,59.3370253,0.715635,3,144760714495,59.3370245,-37.1928552,1567551737487691394,754.2567491,0.002880000008076422,0.013319999976602048
188,-1,-1,-37.2386343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875756734,MS_9813_1346,MS_9813_1346_3,1,1,,59.339834,0.631171,3,144760702384,59.339945,-37.2386646,1567551737487688530,1970.6089732,-0.399599999988709,0.10907999999574258
189,-1,-1,-37.2386343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875756734,MS_9813_1346,MS_9813_1346_3,1,1,,59.339834,0.631171,3,144760702384,59.3399954,-37.2388415,1567551737487692594,,-0.5810399999859328,0.7459199999942712
190,-1,-1,-37.2187429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875431116,MS_9813_894,MS_9813_894_3,1,1,,59.328512,0.520315,3,144760704981,59.3284983,-37.2187494,1650331768919689460,1932.6440734,0.04932000001360848,0.023399999992079756
191,-1,-1,-37.2187429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875431116,MS_9813_894,MS_9813_894_3,1,1,,59.328512,0.520315,3,144760704981,59.3284983,-37.2187494,1650815554035911336,1932.6440734,0.04932000001360848,0.023399999992079756
192,-1,-1,-37.2187429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875431116,MS_9813_894,MS_9813_894_3,1,1,,59.328512,0.520315,3,144760704981,59.3284983,-37.2187494,1567551737487690772,1932.6440734,0.04932000001360848,0.023399999992079756
