LAMBDA,mag,u,g,r,i,z,Y,atm
3421,0,0.131410033,0,0,0,0,0,0.505079422
3422,0,0.131802607,0,0,0,0,0,0.505646264
3423,0,0.132195851,0,0,0,0,0,0.506213125
3424,0,0.132589709,0,0,0,0,0,0.506780004
3425,0,0.132984129,0,0,0,0,0,0.507346902
3426,0,0.133281693,0,0,0,0,0,0.507543484
3427,0,0.133579424,0,0,0,0,0,0.507740068
3428,0,0.133877347,0,0,0,0,0,0.507936654
3429,0,0.13417549,0,0,0,0,0,0.508133242
3430,0,0.134473877,0,0,0,0,0,0.508329831
3431,0,0.13476185,0,0,0,0,0,0.508526423
3432,0,0.135050105,0,0,0,0,0,0.508723017
3433,0,0.13533867,0,0,0,0,0,0.508919612
3434,0,0.135627571,0,0,0,0,0,0.509116209
3435,0,0.135916837,0,0,0,0,0,0.509312809
3436,0,0.136206945,0,0,0,0,0,0.50950941
3437,0,0.136497763,0,0,0,0,0,0.509706013
3438,0,0.136789173,0,0,0,0,0,0.509902618
3439,0,0.137081064,0,0,0,0,0,0.510099225
3440,0,0.137373337,0,0,0,0,0,0.510295833
3441,0,0.137700523,0,0,0,0,0,0.510677674
3442,0,0.138028048,0,0,0,0,0,0.511059524
3443,0,0.138355844,0,0,0,0,0,0.511441384
3444,0,0.138683852,0,0,0,0,0,0.511823255
3445,0,0.139012026,0,0,0,0,0,0.512205136
3446,0,0.139440989,0,0,0,0,0,0.512957527
3447,0,0.139870189,0,0,0,0,0,0.513709944
3448,0,0.140299582,0,0,0,0,0,0.514462388
3449,0,0.140729132,0,0,0,0,0,0.515214859
3450,0,0.141158808,0,0,0,0,0,0.515967356
3451,0,0.141528453,0,0,0,0,0,0.51653461
3452,0,0.141897959,0,0,0,0,0,0.517101881
3453,0,0.142267317,0,0,0,0,0,0.51766917
3454,0,0.142636526,0,0,0,0,0,0.518236478
3455,0,0.143005591,0,0,0,0,0,0.518803804
3456,0,0.143323433,0,0,0,0,0,0.519185857
3457,0,0.143641212,0,0,0,0,0,0.51956792
3458,0,0.143958987,0,0,0,0,0,0.519949993
3459,0,0.144276828,0,0,0,0,0,0.520332076
3460,0,0.144594818,0,0,0,0,0,0.520714169
3461,0,0.144900244,0,0,0,0,0,0.521096272
3462,0,0.145205993,0,0,0,0,0,0.521478385
3463,0,0.145512186,0,0,0,0,0,0.521860508
3464,0,0.145818957,0,0,0,0,0,0.522242641
3465,0,0.146126453,0,0,0,0,0,0.522624783
3466,0,0.146434772,0,0,0,0,0,0.523006936
3467,0,0.146743441,0,0,0,0,0,0.523389099
3468,0,0.147052465,0,0,0,0,0,0.523771271
3469,0,0.147361848,0,0,0,0,0,0.524153453
3470,0,0.147671592,0,0,0,0,0,0.524535646
3471,0,0.147994069,0,0,0,0,0,0.524917848
3472,0,0.148316944,0,0,0,0,0,0.52530006
3473,0,0.148640216,0,0,0,0,0,0.525682281
3474,0,0.14896388,0,0,0,0,0,0.526064513
3475,0,0.149287932,0,0,0,0,0,0.526446755
3476,0,0.149612365,0,0,0,0,0,0.526829006
3477,0,0.149937255,0,0,0,0,0,0.527211267
3478,0,0.150262618,0,0,0,0,0,0.527593538
3479,0,0.150588469,0,0,0,0,0,0.527975819
3480,0,0.150914825,0,0,0,0,0,0.52835811
3481,0,0.15120545,0,0,0,0,0,0.52874041
3482,0,0.151496494,0,0,0,0,0,0.52912272
3483,0,0.151787973,0,0,0,0,0,0.52950504
3484,0,0.152079904,0,0,0,0,0,0.52988737
3485,0,0.152372303,0,0,0,0,0,0.53026971
3486,0,0.152719219,0,0,0,0,0,0.530837472
3487,0,0.153067127,0,0,0,0,0,0.531405252
3488,0,0.153415791,0,0,0,0,0,0.53197305
3489,0,0.153764987,0,0,0,0,0,0.532540866
3490,0,0.154114503,0,0,0,0,0,0.533108699
3491,0,0.154414331,0,0,0,0,0,0.533491117
3492,0,0.154713975,0,0,0,0,0,0.533873545
3493,0,0.155013267,0,0,0,0,0,0.534255982
3494,0,0.155312053,0,0,0,0,0,0.534638429
3495,0,0.155610194,0,0,0,0,0,0.535020886
3496,0,0.155907503,0,0,0,0,0,0.535403353
3497,0,0.156203982,0,0,0,0,0,0.535785829
3498,0,0.156499585,0,0,0,0,0,0.536168315
3499,0,0.156794281,0,0,0,0,0,0.53655081
3500,0,0.157088055,0,0,0,0,0,0.536933315
3501,0,0.157321192,0,0,0,0,0,0.537130356
3502,0,0.157553287,0,0,0,0,0,0.5373274
3503,0,0.157784374,0,0,0,0,0,0.537524444
3504,0,0.158014504,0,0,0,0,0,0.537721491
3505,0,0.158243745,0,0,0,0,0,0.537918539
3506,0,0.158526872,0,0,0,0,0,0.538301081
3507,0,0.158809455,0,0,0,0,0,0.538683634
3508,0,0.15909159,0,0,0,0,0,0.539066196
3509,0,0.159373389,0,0,0,0,0,0.539448767
3510,0,0.159654984,0,0,0,0,0,0.539831348
3511,0,0.15991186,0,0,0,0,0,0.540028426
3512,0,0.160168816,0,0,0,0,0,0.540225505
3513,0,0.160426041,0,0,0,0,0,0.540422586
3514,0,0.160683742,0,0,0,0,0,0.540619668
3515,0,0.160942148,0,0,0,0,0,0.540816752
3516,0,0.161256719,0,0,0,0,0,0.541199371
3517,0,0.161571594,0,0,0,0,0,0.541581999
3518,0,0.161886778,0,0,0,0,0,0.541964636
3519,0,0.162202275,0,0,0,0,0,0.542347283
3520,0,0.162518088,0,0,0,0,0,0.54272994
3521,0,0.162860397,0,0,0,0,0,0.543298158
3522,0,0.163203047,0,0,0,0,0,0.543866394
3523,0,0.163546035,0,0,0,0,0,0.544434648
3524,0,0.163889355,0,0,0,0,0,0.545002918
3525,0,0.164233003,0,0,0,0,0,0.545571206
3526,0,0.164521049,0,0,0,0,0,0.545953939
3527,0,0.164809378,0,0,0,0,0,0.546336682
3528,0,0.165098008,0,0,0,0,0,0.546719434
3529,0,0.165386955,0,0,0,0,0,0.547102195
3530,0,0.165676237,0,0,0,0,0,0.547484966
3531,0,0.165929372,0,0,0,0,0,0.547867746
3532,0,0.166182777,0,0,0,0,0,0.548250535
3533,0,0.166436469,0,0,0,0,0,0.548633334
3534,0,0.166690465,0,0,0,0,0,0.549016143
3535,0,0.166944783,0,0,0,0,0,0.54939896
3536,0,0.167142786,0,0,0,0,0,0.549596175
3537,0,0.167340821,0,0,0,0,0,0.549793392
3538,0,0.167538946,0,0,0,0,0,0.549990611
3539,0,0.167737212,0,0,0,0,0,0.550187831
3540,0,0.167935664,0,0,0,0,0,0.550385052
3541,0,0.168235668,0,0,0,0,0,0.550767906
3542,0,0.168536147,0,0,0,0,0,0.55115077
3543,0,0.168837128,0,0,0,0,0,0.551533642
